time_period,time_identifier,geographic_level,country_code,country_name,itt_subject,itt_route,institution_type,breakdown_topic,breakdown,trainee_number,trainee_percentage
201920,Academic year,National,E92000001,England,Biology,PG Salaried School Direct,HEI,Degree Class,Lower Second,4,36
201920,Academic year,National,E92000001,England,Biology,PG Salaried School Direct,HEI,Degree Class,Other,0,0
201920,Academic year,National,E92000001,England,Biology,PG Salaried PGTA,HEI,Degree Class,Total Known,1,100
201920,Academic year,National,E92000001,England,Biology,PG Salaried PGTA,HEI,Degree Class,First,0,0
201920,Academic year,National,E92000001,England,Biology,PG Salaried PGTA,HEI,Degree Class,Upper Second,1,100
201920,Academic year,National,E92000001,England,Biology,PG Salaried PGTA,HEI,Degree Class,Lower Second,0,0
201920,Academic year,National,E92000001,England,Biology,PG Salaried PGTA,HEI,Degree Class,Other,0,0
201920,Academic year,National,E92000001,England,Biology,PG Salaried PGTA,SCITT,Degree Class,Total Known,2,100
201920,Academic year,National,E92000001,England,Biology,PG Salaried PGTA,SCITT,Degree Class,First,0,0
201920,Academic year,National,E92000001,England,Biology,PG Salaried PGTA,SCITT,Degree Class,Upper Second,2,100
201920,Academic year,National,E92000001,England,Biology,PG Salaried PGTA,SCITT,Degree Class,Lower Second,0,0
201920,Academic year,National,E92000001,England,Biology,PG Salaried PGTA,SCITT,Degree Class,Other,0,0
201920,Academic year,National,E92000001,England,Biology,Postgraduate Total,Total,Degree Class,Total Known,1907,100
201920,Academic year,National,E92000001,England,Biology,Postgraduate Total,Total,Degree Class,First,394,21
201920,Academic year,National,E92000001,England,Biology,Postgraduate Total,Total,Degree Class,Upper Second,1012,53
201920,Academic year,National,E92000001,England,Biology,Postgraduate Total,Total,Degree Class,Lower Second,415,22
201920,Academic year,National,E92000001,England,Biology,Postgraduate Total,Total,Degree Class,Other,86,5
201920,Academic year,National,E92000001,England,Business Studies,PG fee-funded,SCITT,Degree Class,Total Known,38,100
201920,Academic year,National,E92000001,England,Business Studies,PG fee-funded,SCITT,Degree Class,First,6,16
201920,Academic year,National,E92000001,England,Business Studies,PG fee-funded,SCITT,Degree Class,Upper Second,21,55
201920,Academic year,National,E92000001,England,Business Studies,PG fee-funded,SCITT,Degree Class,Lower Second,10,26
201920,Academic year,National,E92000001,England,Business Studies,PG fee-funded,SCITT,Degree Class,Other,1,3
201920,Academic year,National,E92000001,England,Business Studies,PG fee-funded,HEI,Degree Class,Total Known,87,100
201920,Academic year,National,E92000001,England,Business Studies,PG fee-funded,HEI,Degree Class,First,15,17
201920,Academic year,National,E92000001,England,Business Studies,PG fee-funded,HEI,Degree Class,Upper Second,49,56
201920,Academic year,National,E92000001,England,Business Studies,PG fee-funded,HEI,Degree Class,Lower Second,19,22
201920,Academic year,National,E92000001,England,Business Studies,PG fee-funded,HEI,Degree Class,Other,4,5
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried High Potential ITT,HEI,Degree Class,Total Known,36,100
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried High Potential ITT,HEI,Degree Class,First,11,31
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried High Potential ITT,HEI,Degree Class,Upper Second,22,61
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried High Potential ITT,HEI,Degree Class,Lower Second,2,6
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried High Potential ITT,HEI,Degree Class,Other,1,3
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried School Direct,HEI,Degree Class,Total Known,8,100
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried School Direct,HEI,Degree Class,First,1,13
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried School Direct,HEI,Degree Class,Upper Second,5,63
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried School Direct,HEI,Degree Class,Lower Second,2,25
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried School Direct,HEI,Degree Class,Other,0,0
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried School Direct,SCITT,Degree Class,Total Known,16,100
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried School Direct,SCITT,Degree Class,First,3,19
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried School Direct,SCITT,Degree Class,Upper Second,6,38
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried School Direct,SCITT,Degree Class,Lower Second,7,44
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried School Direct,SCITT,Degree Class,Other,0,0
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried PGTA,SCITT,Degree Class,Total Known,6,100
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried PGTA,SCITT,Degree Class,First,0,0
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried PGTA,SCITT,Degree Class,Upper Second,4,67
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried PGTA,SCITT,Degree Class,Lower Second,2,33
201920,Academic year,National,E92000001,England,Business Studies,PG Salaried PGTA,SCITT,Degree Class,Other,0,0
201920,Academic year,National,E92000001,England,Business Studies,Postgraduate Total,Total,Degree Class,Total Known,191,100
201920,Academic year,National,E92000001,England,Business Studies,Postgraduate Total,Total,Degree Class,First,36,19
201920,Academic year,National,E92000001,England,Business Studies,Postgraduate Total,Total,Degree Class,Upper Second,107,56
201920,Academic year,National,E92000001,England,Business Studies,Postgraduate Total,Total,Degree Class,Lower Second,42,22
201920,Academic year,National,E92000001,England,Business Studies,Postgraduate Total,Total,Degree Class,Other,6,3
201920,Academic year,National,E92000001,England,Chemistry,PG fee-funded,HEI,Degree Class,Total Known,473,100
201920,Academic year,National,E92000001,England,Chemistry,PG fee-funded,HEI,Degree Class,First,105,22
201920,Academic year,National,E92000001,England,Chemistry,PG fee-funded,HEI,Degree Class,Upper Second,210,44
201920,Academic year,National,E92000001,England,Chemistry,PG fee-funded,HEI,Degree Class,Lower Second,127,27
201920,Academic year,National,E92000001,England,Chemistry,PG fee-funded,HEI,Degree Class,Other,31,7
201920,Academic year,National,E92000001,England,Chemistry,PG fee-funded,SCITT,Degree Class,Total Known,218,100
201920,Academic year,National,E92000001,England,Chemistry,PG fee-funded,SCITT,Degree Class,First,54,25
201920,Academic year,National,E92000001,England,Chemistry,PG fee-funded,SCITT,Degree Class,Upper Second,98,45
201920,Academic year,National,E92000001,England,Chemistry,PG fee-funded,SCITT,Degree Class,Lower Second,56,26
201920,Academic year,National,E92000001,England,Chemistry,PG fee-funded,SCITT,Degree Class,Other,10,5
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried High Potential ITT,HEI,Degree Class,Total Known,38,100
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried High Potential ITT,HEI,Degree Class,First,10,26
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried High Potential ITT,HEI,Degree Class,Upper Second,22,58
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried High Potential ITT,HEI,Degree Class,Lower Second,5,13
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried High Potential ITT,HEI,Degree Class,Other,1,3
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried School Direct,SCITT,Degree Class,Total Known,25,100
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried School Direct,SCITT,Degree Class,First,4,16
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried School Direct,SCITT,Degree Class,Upper Second,7,28
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried School Direct,SCITT,Degree Class,Lower Second,8,32
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried School Direct,SCITT,Degree Class,Other,6,24
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried School Direct,HEI,Degree Class,Total Known,6,100
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried School Direct,HEI,Degree Class,First,1,17
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried School Direct,HEI,Degree Class,Upper Second,2,33
