time_period,time_identifier,geographic_level,country_code,country_name,itt_subject,breakdown_topic,breakdown,trainee_number,trainee_percentage
201920,Academic year,National,E92000001,England,Chemistry,PG Fee-Funded,Total,701,90
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried Postgraduate Teaching Apprenticeship,Higher Education Institution,2,0
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried Postgraduate Teaching Apprenticeship,School Centred ITT,2,0
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried Postgraduate Teaching Apprenticeship,Total,4,1
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried School Direct,Higher Education Institution,11,1
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried School Direct,School Centred ITT,26,3
201920,Academic year,National,E92000001,England,Chemistry,PG Salaried School Direct,Total,37,5
201920,Academic year,National,E92000001,England,Chemistry,Undergraduate Fee-Funded,Total,3,100
201920,Academic year,National,E92000001,England,Chemistry,Undergraduate Teacher Degree Apprenticeship,Total,0,0
201920,Academic year,National,E92000001,England,Chemistry,Undergraduate Total,Total,3,0
201920,Academic year,National,E92000001,England,Chemistry,Postgraduate Salaried Total,Total,82,10
201920,Academic year,National,E92000001,England,Chemistry,Postgraduate Total,Total,783,100
201920,Academic year,National,E92000001,England,Classics,Total,Total,80,100
201920,Academic year,National,E92000001,England,Classics,PG Salaried High Potential ITT,Higher Education Institution,0,0
201920,Academic year,National,E92000001,England,Classics,PG Salaried High Potential ITT,School Centred ITT,0,0
201920,Academic year,National,E92000001,England,Classics,PG Salaried High Potential ITT,Total,0,0
201920,Academic year,National,E92000001,England,Classics,PG Fee-Funded,Higher Education Institution,61,76
201920,Academic year,National,E92000001,England,Classics,PG Fee-Funded,School Centred ITT,17,21
201920,Academic year,National,E92000001,England,Classics,PG Fee-Funded,Total,78,98
201920,Academic year,National,E92000001,England,Classics,PG Salaried Postgraduate Teaching Apprenticeship,Higher Education Institution,0,0
201920,Academic year,National,E92000001,England,Classics,PG Salaried Postgraduate Teaching Apprenticeship,School Centred ITT,2,3
201920,Academic year,National,E92000001,England,Classics,PG Salaried Postgraduate Teaching Apprenticeship,Total,2,3
201920,Academic year,National,E92000001,England,Classics,PG Salaried School Direct,Higher Education Institution,0,0
201920,Academic year,National,E92000001,England,Classics,PG Salaried School Direct,School Centred ITT,0,0
201920,Academic year,National,E92000001,England,Classics,PG Salaried School Direct,Total,0,0
201920,Academic year,National,E92000001,England,Classics,Undergraduate Fee-Funded,Total,0,null
201920,Academic year,National,E92000001,England,Classics,Undergraduate Teacher Degree Apprenticeship,Total,0,null
201920,Academic year,National,E92000001,England,Classics,Undergraduate Total,Total,0,0
201920,Academic year,National,E92000001,England,Classics,Postgraduate Salaried Total,Total,2,3
201920,Academic year,National,E92000001,England,Classics,Postgraduate Total,Total,80,100
201920,Academic year,National,E92000001,England,Computing,Total,Total,481,100
201920,Academic year,National,E92000001,England,Computing,PG Salaried High Potential ITT,Higher Education Institution,7,1
201920,Academic year,National,E92000001,England,Computing,PG Salaried High Potential ITT,School Centred ITT,0,0
201920,Academic year,National,E92000001,England,Computing,PG Salaried High Potential ITT,Total,7,1
201920,Academic year,National,E92000001,England,Computing,PG Fee-Funded,Higher Education Institution,317,67
201920,Academic year,National,E92000001,England,Computing,PG Fee-Funded,School Centred ITT,140,29
201920,Academic year,National,E92000001,England,Computing,PG Fee-Funded,Total,457,96
201920,Academic year,National,E92000001,England,Computing,PG Salaried Postgraduate Teaching Apprenticeship,Higher Education Institution,0,0
201920,Academic year,National,E92000001,England,Computing,PG Salaried Postgraduate Teaching Apprenticeship,School Centred ITT,0,0
201920,Academic year,National,E92000001,England,Computing,PG Salaried Postgraduate Teaching Apprenticeship,Total,0,0
201920,Academic year,National,E92000001,England,Computing,PG Salaried School Direct,Higher Education Institution,5,1
201920,Academic year,National,E92000001,England,Computing,PG Salaried School Direct,School Centred ITT,6,1
201920,Academic year,National,E92000001,England,Computing,PG Salaried School Direct,Total,11,2
201920,Academic year,National,E92000001,England,Computing,Undergraduate Fee-Funded,Total,6,100
201920,Academic year,National,E92000001,England,Computing,Undergraduate Teacher Degree Apprenticeship,Total,0,0
201920,Academic year,National,E92000001,England,Computing,Undergraduate Total,Total,6,1
201920,Academic year,National,E92000001,England,Computing,Postgraduate Salaried Total,Total,18,4
201920,Academic year,National,E92000001,England,Computing,Postgraduate Total,Total,475,99
201920,Academic year,National,E92000001,England,Design & Technology,Total,Total,441,100
201920,Academic year,National,E92000001,England,Design & Technology,PG Salaried High Potential ITT,Higher Education Institution,14,3
201920,Academic year,National,E92000001,England,Design & Technology,PG Salaried High Potential ITT,School Centred ITT,0,0
201920,Academic year,National,E92000001,England,Design & Technology,PG Salaried High Potential ITT,Total,14,3
201920,Academic year,National,E92000001,England,Design & Technology,PG Fee-Funded,Higher Education Institution,255,58
201920,Academic year,National,E92000001,England,Design & Technology,PG Fee-Funded,School Centred ITT,138,31
201920,Academic year,National,E92000001,England,Design & Technology,PG Fee-Funded,Total,393,89
201920,Academic year,National,E92000001,England,Design & Technology,PG Salaried Postgraduate Teaching Apprenticeship,Higher Education Institution,0,0
201920,Academic year,National,E92000001,England,Design & Technology,PG Salaried Postgraduate Teaching Apprenticeship,School Centred ITT,0,0
201920,Academic year,National,E92000001,England,Design & Technology,PG Salaried Postgraduate Teaching Apprenticeship,Total,0,0
201920,Academic year,National,E92000001,England,Design & Technology,PG Salaried School Direct,Higher Education Institution,11,2
201920,Academic year,National,E92000001,England,Design & Technology,PG Salaried School Direct,School Centred ITT,23,5
201920,Academic year,National,E92000001,England,Design & Technology,PG Salaried School Direct,Total,34,8
201920,Academic year,National,E92000001,England,Design & Technology,Undergraduate Fee-Funded,Total,0,null
201920,Academic year,National,E92000001,England,Design & Technology,Undergraduate Teacher Degree Apprenticeship,Total,0,null
201920,Academic year,National,E92000001,England,Design & Technology,Undergraduate Total,Total,0,0
201920,Academic year,National,E92000001,England,Design & Technology,Postgraduate Salaried Total,Total,48,11
201920,Academic year,National,E92000001,England,Design & Technology,Postgraduate Total,Total,441,100
201920,Academic year,National,E92000001,England,Drama,Total,Total,301,100
201920,Academic year,National,E92000001,England,Drama,PG Salaried High Potential ITT,Higher Education Institution,0,0
201920,Academic year,National,E92000001,England,Drama,PG Salaried High Potential ITT,School Centred ITT,0,0
201920,Academic year,National,E92000001,England,Drama,PG Salaried High Potential ITT,Total,0,0
201920,Academic year,National,E92000001,England,Drama,PG Fee-Funded,Higher Education Institution,210,70
201920,Academic year,National,E92000001,England,Drama,PG Fee-Funded,School Centred ITT,81,27
201920,Academic year,National,E92000001,England,Drama,PG Fee-Funded,Total,291,97
201920,Academic year,National,E92000001,England,Drama,PG Salaried Postgraduate Teaching Apprenticeship,Higher Education Institution,1,0
201920,Academic year,National,E92000001,England,Drama,PG Salaried Postgraduate Teaching Apprenticeship,School Centred ITT,0,0
201920,Academic year,National,E92000001,England,Drama,PG Salaried Postgraduate Teaching Apprenticeship,Total,1,0
201920,Academic year,National,E92000001,England,Drama,PG Salaried School Direct,Higher Education Institution,4,1
201920,Academic year,National,E92000001,England,Drama,PG Salaried School Direct,School Centred ITT,4,1
201920,Academic year,National,E92000001,England,Drama,PG Salaried School Direct,Total,8,3
201920,Academic year,National,E92000001,England,Drama,Undergraduate Fee-Funded,Total,1,100
201920,Academic year,National,E92000001,England,Drama,Undergraduate Teacher Degree Apprenticeship,Total,0,0
201920,Academic year,National,E92000001,England,Drama,Undergraduate Total,Total,1,0
201920,Academic year,National,E92000001,England,Drama,Postgraduate Salaried Total,Total,9,3
201920,Academic year,National,E92000001,England,Drama,Postgraduate Total,Total,300,100
201920,Academic year,National,E92000001,England,English,Total,Total,3094,100
201920,Academic year,National,E92000001,England,English,PG Salaried High Potential ITT,Higher Education Institution,375,13
201920,Academic year,National,E92000001,England,English,PG Salaried High Potential ITT,School Centred ITT,0,0
201920,Academic year,National,E92000001,England,English,PG Salaried High Potential ITT,Total,375,13
201920,Academic year,National,E92000001,England,English,PG Fee-Funded,Higher Education Institution,1691,58
201920,Academic year,National,E92000001,England,English,PG Fee-Funded,School Centred ITT,638,22
201920,Academic year,National,E92000001,England,English,PG Fee-Funded,Total,2329,79
201920,Academic year,National,E92000001,England,English,PG Salaried Postgraduate Teaching Apprenticeship,Higher Education Institution,4,0
201920,Academic year,National,E92000001,England,English,PG Salaried Postgraduate Teaching Apprenticeship,School Centred ITT,5,0
