time_period,time_identifier,geographic_level,country_code,country_name,ethnic_group_recorded,ethnic_background_recorded,trainee_number,trainee_percentage
202122,Academic year,National,E92000001,England,White,Gypsy or Irish Traveller,4,0
202122,Academic year,National,E92000001,England,White,Unknown,8517,31
202122,Academic year,National,E92000001,England,White,Any other ethnic group,3,0
202122,Academic year,National,E92000001,England,White,Irish,33,0
202122,Academic year,National,E92000001,England,White,Total,21643,80
202223,Academic year,National,E92000001,England,Asian / Asian British,Unknown,5,0
202223,Academic year,National,E92000001,England,Asian / Asian British,Any other Asian background,335,1
202223,Academic year,National,E92000001,England,Asian / Asian British,Pakistani,1054,5
202223,Academic year,National,E92000001,England,Asian / Asian British,Chinese,239,1
202223,Academic year,National,E92000001,England,Asian / Asian British,Bangladeshi,531,2
202223,Academic year,National,E92000001,England,Asian / Asian British,Indian,702,3
202223,Academic year,National,E92000001,England,Asian / Asian British,African,1,0
202223,Academic year,National,E92000001,England,Asian / Asian British,Total,2867,13
202223,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,Unknown,4,0
202223,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,Caribbean,301,1
202223,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,Any other Black / African / Caribbean background,54,0
202223,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,African,691,3
202223,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,Total,1050,5
202223,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,Unknown,1,0
202223,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,Any other Mixed / Multiple ethnic background,245,1
202223,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,White and Black African,87,0
202223,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,White and Black Caribbean,242,1
202223,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,White and Asian,267,1
202223,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,Total,842,4
202223,Academic year,National,E92000001,England,Other ethnic group,Arab,197,1
202223,Academic year,National,E92000001,England,Other ethnic group,Any other ethnic group,205,1
202223,Academic year,National,E92000001,England,Other ethnic group,Unknown,3,0
202223,Academic year,National,E92000001,England,Other ethnic group,Total,405,2
202223,Academic year,National,E92000001,England,White,Unknown,10,0
202223,Academic year,National,E92000001,England,White,Any other White background,937,4
202223,Academic year,National,E92000001,England,White,Gypsy or Irish Traveller,5,0
202223,Academic year,National,E92000001,England,White,Irish,315,1
202223,Academic year,National,E92000001,England,White,Roma,3,0
202223,Academic year,National,E92000001,England,White,English / Welsh / Scottish / Northern Irish / British,16287,72
202223,Academic year,National,E92000001,England,White,Total,17557,77
202324,Academic year,National,E92000001,England,Asian / Asian British,Bangladeshi,437,2
202324,Academic year,National,E92000001,England,Asian / Asian British,Pakistani,1123,5
202324,Academic year,National,E92000001,England,Asian / Asian British,Indian,744,3
202324,Academic year,National,E92000001,England,Asian / Asian British,Any other Asian background,335,2
202324,Academic year,National,E92000001,England,Asian / Asian British,Unknown,3,0
202324,Academic year,National,E92000001,England,Asian / Asian British,Chinese,267,1
202324,Academic year,National,E92000001,England,Asian / Asian British,Total,2909,14
202324,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,Caribbean,260,1
202324,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,Unknown,1,0
202324,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,Any other Black / African / Caribbean background,82,0
202324,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,African,859,4
202324,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,Total,1202,6
202324,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,Unknown,1,0
202324,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,White and Asian,285,1
202324,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,White and Black Caribbean,206,1
202324,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,Any other Mixed / Multiple ethnic background,290,1
202324,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,White and Black African,88,0
202324,Academic year,National,E92000001,England,Mixed / Multiple ethnic groups,Total,870,4
202324,Academic year,National,E92000001,England,Other ethnic group,Roma,1,0
202324,Academic year,National,E92000001,England,Other ethnic group,Unknown,5,0
202324,Academic year,National,E92000001,England,Other ethnic group,Any other ethnic group,200,1
202324,Academic year,National,E92000001,England,Other ethnic group,Arab,225,1
202324,Academic year,National,E92000001,England,Other ethnic group,Chinese,1,0
202324,Academic year,National,E92000001,England,Other ethnic group,Total,432,2
202324,Academic year,National,E92000001,England,White,Any other White background,945,4
202324,Academic year,National,E92000001,England,White,Irish,299,1
202324,Academic year,National,E92000001,England,White,Roma,5,0
202324,Academic year,National,E92000001,England,White,Unknown,2,0
202324,Academic year,National,E92000001,England,White,English / Welsh / Scottish / Northern Irish / British,14751,69
202324,Academic year,National,E92000001,England,White,Gypsy or Irish Traveller,4,0
202324,Academic year,National,E92000001,England,White,Total,16006,75
202425,Academic year,National,E92000001,England,Asian / Asian British,Unknown,2,0
202425,Academic year,National,E92000001,England,Asian / Asian British,Pakistani,1347,6
202425,Academic year,National,E92000001,England,Asian / Asian British,Bangladeshi,560,2
202425,Academic year,National,E92000001,England,Asian / Asian British,Any other Asian background,387,2
202425,Academic year,National,E92000001,England,Asian / Asian British,Chinese,302,1
202425,Academic year,National,E92000001,England,Asian / Asian British,Indian,807,4
202425,Academic year,National,E92000001,England,Asian / Asian British,Total,3405,15
202425,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,Any other Black / African / Caribbean background,71,0
202425,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,Caribbean,299,1
202425,Academic year,National,E92000001,England,Black / African / Caribbean / Black British,African,1199,5
