time_period,time_identifier,geographic_level,country_code,country_name,itt_subject,breakdown_topic,breakdown,trainee_number,trainee_percentage
202021,Academic year,National,E92000001,England,Art & Design,Target,Postgraduate ITT Target,681,131
202021,Academic year,National,E92000001,England,Art & Design,Total,Total Postgraduates,915,100
202021,Academic year,National,E92000001,England,Biology,Total,Postgraduates in scope of target,2021,z
202021,Academic year,National,E92000001,England,Biology,Target,Postgraduate ITT Target,1116,181
202021,Academic year,National,E92000001,England,Biology,Total,Total Postgraduates,2107,100
202021,Academic year,National,E92000001,England,Business Studies,Total,Postgraduates in scope of target,383,z
202021,Academic year,National,E92000001,England,Business Studies,Target,Postgraduate ITT Target,397,96
202021,Academic year,National,E92000001,England,Business Studies,Total,Total Postgraduates,402,100
202021,Academic year,National,E92000001,England,Chemistry,Total,Postgraduates in scope of target,848,z
202021,Academic year,National,E92000001,England,Chemistry,Target,Postgraduate ITT Target,1144,74
202021,Academic year,National,E92000001,England,Chemistry,Total,Total Postgraduates,885,100
202021,Academic year,National,E92000001,England,Classics,Total,Postgraduates in scope of target,68,z
202021,Academic year,National,E92000001,England,Classics,Target,Postgraduate ITT Target,27,252
202021,Academic year,National,E92000001,England,Classics,Total,Total Postgraduates,80,100
202021,Academic year,National,E92000001,England,Computing,Total,Postgraduates in scope of target,592,z
202021,Academic year,National,E92000001,England,Computing,Target,Postgraduate ITT Target,621,95
202021,Academic year,National,E92000001,England,Computing,Total,Total Postgraduates,601,100
202021,Academic year,National,E92000001,England,Design & Technology,Total,Postgraduates in scope of target,654,z
202021,Academic year,National,E92000001,England,Design & Technology,Target,Postgraduate ITT Target,919,71
202021,Academic year,National,E92000001,England,Design & Technology,Total,Total Postgraduates,678,100
202021,Academic year,National,E92000001,England,Drama,Total,Postgraduates in scope of target,449,z
202021,Academic year,National,E92000001,England,Drama,Target,Postgraduate ITT Target,340,132
202021,Academic year,National,E92000001,England,Drama,Total,Total Postgraduates,467,100
202021,Academic year,National,E92000001,England,English,Total,Postgraduates in scope of target,3081,z
202021,Academic year,National,E92000001,England,English,Target,Postgraduate ITT Target,2544,121
202021,Academic year,National,E92000001,England,English,Total,Total Postgraduates,3177,100
202021,Academic year,National,E92000001,England,Geography,Total,Postgraduates in scope of target,1183,z
202021,Academic year,National,E92000001,England,Geography,Target,Postgraduate ITT Target,929,127
202021,Academic year,National,E92000001,England,Geography,Total,Total Postgraduates,1203,100
202021,Academic year,National,E92000001,England,History,Total,Postgraduates in scope of target,1644,z
202021,Academic year,National,E92000001,England,History,Target,Postgraduate ITT Target,982,167
202021,Academic year,National,E92000001,England,History,Total,Total Postgraduates,1668,100
202021,Academic year,National,E92000001,England,Mathematics,Total,Postgraduates in scope of target,2744,z
202021,Academic year,National,E92000001,England,Mathematics,Target,Postgraduate ITT Target,3307,83
202021,Academic year,National,E92000001,England,Mathematics,Total,Total Postgraduates,2823,100
202021,Academic year,National,E92000001,England,Modern Foreign Languages,Total,Postgraduates in scope of target,1601,z
202021,Academic year,National,E92000001,England,Modern Foreign Languages,Target,Postgraduate ITT Target,2334,69
202021,Academic year,National,E92000001,England,Modern Foreign Languages,Total,Total Postgraduates,1644,100
202021,Academic year,National,E92000001,England,Music,Total,Postgraduates in scope of target,467,z
202021,Academic year,National,E92000001,England,Music,Target,Postgraduate ITT Target,385,121
202021,Academic year,National,E92000001,England,Music,Total,Total Postgraduates,478,100
202021,Academic year,National,E92000001,England,Other,Total,Postgraduates in scope of target,395,z
202021,Academic year,National,E92000001,England,Other,Target,Postgraduate ITT Target,713,55
202021,Academic year,National,E92000001,England,Other,Total,Total Postgraduates,404,100
202021,Academic year,National,E92000001,England,Physical Education,Total,Postgraduates in scope of target,1527,z
202021,Academic year,National,E92000001,England,Physical Education,Target,Postgraduate ITT Target,1200,127
202021,Academic year,National,E92000001,England,Physical Education,Total,Total Postgraduates,1649,100
202021,Academic year,National,E92000001,England,Physics,Total,Postgraduates in scope of target,503,z
202021,Academic year,National,E92000001,England,Physics,Target,Postgraduate ITT Target,1336,38
202021,Academic year,National,E92000001,England,Physics,Total,Total Postgraduates,514,100
202021,Academic year,National,E92000001,England,Religious Education,Total,Postgraduates in scope of target,657,z
202021,Academic year,National,E92000001,England,Religious Education,Target,Postgraduate ITT Target,510,129
202021,Academic year,National,E92000001,England,Religious Education,Total,Total Postgraduates,671,100
202021,Academic year,National,E92000001,England,Primary,Total,Postgraduates in scope of target,14147,z
202021,Academic year,National,E92000001,England,Primary,Target,Postgraduate ITT Target,11467,123
202021,Academic year,National,E92000001,England,Primary,Total,Total Postgraduates,14597,100
202021,Academic year,National,E92000001,England,Secondary,Total,Postgraduates in scope of target,19706,z
202021,Academic year,National,E92000001,England,Secondary,Target,Postgraduate ITT Target,19485,101
202021,Academic year,National,E92000001,England,Secondary,Total,Total Postgraduates,20366,100
202021,Academic year,National,E92000001,England,STEM Subjects,Total,Postgraduates in scope of target,6708,z
202021,Academic year,National,E92000001,England,STEM Subjects,Target,Postgraduate ITT Target,7524,89
202021,Academic year,National,E92000001,England,STEM Subjects,Total,Total Postgraduates,6930,100
202021,Academic year,National,E92000001,England,Total,Total,Postgraduates in scope of target,33853,z
202021,Academic year,National,E92000001,England,Total,Target,Postgraduate ITT Target,30952,109
202021,Academic year,National,E92000001,England,Total,Total,Total Postgraduates,34963,100
202122,Academic year,National,E92000001,England,Art & Design,Total,Postgraduates in scope of target,778,z
202122,Academic year,National,E92000001,England,Art & Design,Target,Postgraduate ITT Target,580,134
202122,Academic year,National,E92000001,England,Art & Design,Total,Total Postgraduates,788,100
202122,Academic year,National,E92000001,England,Biology,Total,Postgraduates in scope of target,909,z
202122,Academic year,National,E92000001,England,Biology,Target,Postgraduate ITT Target,820,111
202122,Academic year,National,E92000001,England,Biology,Total,Total Postgraduates,918,100
202122,Academic year,National,E92000001,England,Business Studies,Total,Postgraduates in scope of target,330,z
202122,Academic year,National,E92000001,England,Business Studies,Target,Postgraduate ITT Target,725,46
202122,Academic year,National,E92000001,England,Business Studies,Total,Total Postgraduates,342,100
202122,Academic year,National,E92000001,England,Chemistry,Total,Postgraduates in scope of target,1063,z
202122,Academic year,National,E92000001,England,Chemistry,Target,Postgraduate ITT Target,1080,98
202122,Academic year,National,E92000001,England,Chemistry,Total,Total Postgraduates,1070,100
202122,Academic year,National,E92000001,England,Classics,Total,Postgraduates in scope of target,60,z
202122,Academic year,National,E92000001,England,Classics,Target,Postgraduate ITT Target,40,150
202122,Academic year,National,E92000001,England,Classics,Total,Total Postgraduates,61,100
202122,Academic year,National,E92000001,England,Computing,Total,Postgraduates in scope of target,549,z
202122,Academic year,National,E92000001,England,Computing,Target,Postgraduate ITT Target,840,65
202122,Academic year,National,E92000001,England,Computing,Total,Total Postgraduates,553,100
202122,Academic year,National,E92000001,England,Design & Technology,Total,Postgraduates in scope of target,332,z
202122,Academic year,National,E92000001,England,Design & Technology,Target,Postgraduate ITT Target,1475,23
202122,Academic year,National,E92000001,England,Design & Technology,Total,Total Postgraduates,338,100
202122,Academic year,National,E92000001,England,Drama,Total,Postgraduates in scope of target,484,z
202122,Academic year,National,E92000001,England,Drama,Target,Postgraduate ITT Target,330,147
202122,Academic year,National,E92000001,England,Drama,Total,Total Postgraduates,489,100
202122,Academic year,National,E92000001,England,English,Total,Postgraduates in scope of target,2227,z
202122,Academic year,National,E92000001,England,English,Target,Postgraduate ITT Target,1980,112
202122,Academic year,National,E92000001,England,English,Total,Total Postgraduates,2287,100
202122,Academic year,National,E92000001,England,Geography,Total,Postgraduates in scope of target,612,z
202122,Academic year,National,E92000001,England,Geography,Target,Postgraduate ITT Target,745,82
202122,Academic year,National,E92000001,England,Geography,Total,Total Postgraduates,627,100
202122,Academic year,National,E92000001,England,History,Total,Postgraduates in scope of target,1495,z
202122,Academic year,National,E92000001,England,History,Target,Postgraduate ITT Target,780,192
202122,Academic year,National,E92000001,England,History,Total,Total Postgraduates,1507,100
202122,Academic year,National,E92000001,England,Mathematics,Total,Postgraduates in scope of target,2512,z
202122,Academic year,National,E92000001,England,Mathematics,Target,Postgraduate ITT Target,2800,90
202122,Academic year,National,E92000001,England,Mathematics,Total,Total Postgraduates,2529,100
202122,Academic year,National,E92000001,England,Modern Foreign Languages,Total,Postgraduates in scope of target,1023,z
202122,Academic year,National,E92000001,England,Modern Foreign Languages,Target,Postgraduate ITT Target,1505,68
202122,Academic year,National,E92000001,England,Modern Foreign Languages,Total,Total Postgraduates,1046,100
202122,Academic year,National,E92000001,England,Music,Total,Postgraduates in scope of target,381,z
202122,Academic year,National,E92000001,England,Music,Target,Postgraduate ITT Target,540,71
202122,Academic year,National,E92000001,England,Music,Total,Total Postgraduates,395,100
202122,Academic year,National,E92000001,England,Other,Total,Postgraduates in scope of target,501,z
202122,Academic year,National,E92000001,England,Other,Target,Postgraduate ITT Target,1980,25
202122,Academic year,National,E92000001,England,Other,Total,Total Postgraduates,510,100
202122,Academic year,National,E92000001,England,Physical Education,Total,Postgraduates in scope of target,1633,z
202122,Academic year,National,E92000001,England,Physical Education,Target,Postgraduate ITT Target,1010,162
202122,Academic year,National,E92000001,England,Physical Education,Total,Total Postgraduates,1646,100
202122,Academic year,National,E92000001,England,Physics,Total,Postgraduates in scope of target,532,z
202122,Academic year,National,E92000001,England,Physics,Target,Postgraduate ITT Target,2530,21
