time_period,time_identifier,geographic_level,country_code,country_name,itt_subject,itt_route,itt_program_type,num_candidates,num_accepted,perc_accepted_candidates_on_route,in_cycle_accepted_candidates,in_cycle_acceptance_rate
202223,Academic year,National,E92000001,England,Classics,PG Total,HEI,103,50,85,59,57
202223,Academic year,National,E92000001,England,Classics,PG Total,SCITT,37,9,15,10,27
202223,Academic year,National,E92000001,England,Classics,PG Total,Total,109,59,100,69,63
202223,Academic year,National,E92000001,England,Classics,Total,HEI,103,50,85,59,57
202223,Academic year,National,E92000001,England,Classics,Total,SCITT,37,9,15,10,27
202223,Academic year,National,E92000001,England,Classics,Total,Total,109,59,100,69,63
202223,Academic year,National,E92000001,England,Computing,PG fee-funded,HEI,757,232,68,299,39
202223,Academic year,National,E92000001,England,Computing,PG fee-funded,SCITT,425,99,29,129,30
202223,Academic year,National,E92000001,England,Computing,PG fee-funded,Total,932,331,97,428,46
202223,Academic year,National,E92000001,England,Computing,PG Salaried PGTA,HEI,13,0,0,x,x
202223,Academic year,National,E92000001,England,Computing,PG Salaried PGTA,SCITT,38,0,0,0,0
202223,Academic year,National,E92000001,England,Computing,PG Salaried PGTA,Total,46,0,0,0,0
202223,Academic year,National,E92000001,England,Computing,PG Salaried School Direct,HEI,32,4,1,4,12
202223,Academic year,National,E92000001,England,Computing,PG Salaried School Direct,SCITT,70,6,2,6,9
202223,Academic year,National,E92000001,England,Computing,PG Salaried School Direct,Total,92,10,3,10,11
202223,Academic year,National,E92000001,England,Computing,PG Total,HEI,778,236,69,303,39
202223,Academic year,National,E92000001,England,Computing,PG Total,SCITT,487,105,31,135,28
202223,Academic year,National,E92000001,England,Computing,PG Total,Total,982,341,100,438,45
202223,Academic year,National,E92000001,England,Computing,Total,HEI,778,236,69,303,39
202223,Academic year,National,E92000001,England,Computing,Total,SCITT,487,105,31,135,28
202223,Academic year,National,E92000001,England,Computing,Total,Total,982,341,100,438,45
202223,Academic year,National,E92000001,England,Design & Technology,PG fee-funded,HEI,525,202,50,250,48
202223,Academic year,National,E92000001,England,Design & Technology,PG fee-funded,SCITT,416,171,42,202,49
202223,Academic year,National,E92000001,England,Design & Technology,PG fee-funded,Total,738,373,92,452,61
202223,Academic year,National,E92000001,England,Design & Technology,PG Salaried PGTA,HEI,13,3,1,x,x
202223,Academic year,National,E92000001,England,Design & Technology,PG Salaried PGTA,SCITT,19,6,1,x,x
202223,Academic year,National,E92000001,England,Design & Technology,PG Salaried PGTA,Total,32,9,2,10,31
202223,Academic year,National,E92000001,England,Design & Technology,PG Salaried School Direct,HEI,18,5,1,x,x
202223,Academic year,National,E92000001,England,Design & Technology,PG Salaried School Direct,SCITT,60,20,5,22,37
